TC_ID,TC_ID gốc,FR,Kỹ thuật,Nhóm,Tiêu đề,Tiền điều kiện,Method+Endpoint,Headers,Request body/params,Expected HTTP,Expected/Assertion,Truy vết,Ưu tiên
TC-API1-001,TC-API1-D-001,FR-06,EP+BVA,Domain,id hợp lệ nhỏ nhất (min=1),Sản phẩm id=1 tồn tại,GET /api/products/1,X-Student-Id: 23127362,Không,200,"status=200; đúng tập 6 trường {id,name,price,description,imageUrl,category_id}; đúng kiểu từng trường; body.id===1",EP-ID-V1; BV-ID-2; EP-BODY-V1; EP-QUERY-V1; EP-METHOD-V1; EP-CT-V1; EP-ACCEPT-V1,Cao
TC-API1-002,TC-API1-D-002,FR-06,BVA,Domain,Biên min+1 (id=2),Sản phẩm id=2 tồn tại,GET /api/products/2,X-Student-Id: 23127362,Không,200,status=200; body.id===2 và KHÁC 1 (không off-by-one); đúng 6 trường,BV-ID-3,Trung bình
TC-API1-003,TC-API1-D-003,FR-06,BVA,Domain,"Biên trên miền tồn tại (N-1, N)",Đã xác định N từ GET /api/products,GET /api/products/{N-1} rồi /{N},X-Student-Id: 23127362,Không,200 (cả hai),"Cả hai: status=200, đúng 6 trường, body.id khớp id đã gọi",BV-ID-4; BV-ID-5,Trung bình
TC-API1-004,TC-API1-D-004,FR-06,EP+BVA,Domain,id đúng định dạng nhưng không tồn tại (N+1),Xác nhận N+1 không có trong danh sách,GET /api/products/{N+1},X-Student-Id: 23127362,Không,404,status=404; body JSON có error/message kiểu string; KHÔNG chứa khóa name/price (không rò rỉ bản ghi),EP-ID-I1; BV-ID-6,Cao
TC-API1-005,TC-API1-D-005,FR-06,EP+BVA,Domain,id=0 (min-1),—,GET /api/products/0,X-Student-Id: 23127362,Không,400,"status=400; body lỗi JSON chuẩn; KHÔNG 200, KHÔNG 500",EP-ID-I2; BV-ID-1,Cao
TC-API1-006,TC-API1-D-006,FR-06,EP,Domain,id là số nguyên âm,—,GET /api/products/-1,X-Student-Id: 23127362,Không,400,status=400 + body lỗi JSON. Nếu nhận 404 ⇒ ghi nhận thiếu validate đầu vào (parse rồi mới truy vấn),EP-ID-I3,Cao
TC-API1-007,TC-API1-D-007,FR-06,EP,Domain,id là số thực 1.5 — chống ép kiểu ngầm,Sản phẩm id=1 tồn tại,GET /api/products/1.5,X-Student-Id: 23127362,Không,400,"status=400; body KHÔNG chứa ""id"":1 (chống lỗi truncation parseInt)",EP-ID-I4,Cao
TC-API1-008,TC-API1-D-008,FR-06,EP,Domain,id là chuỗi chữ cái,—,GET /api/products/abc,X-Student-Id: 23127362,Không,400,status=400; body lỗi JSON chuẩn; KHÔNG 500,EP-ID-I5,Cao
TC-API1-009,TC-API1-D-009,FR-06,EP+BVA,Domain,id rỗng — không được rơi về endpoint danh sách,Danh sách có ≥1 sản phẩm,GET /api/products/ và /api/products//,X-Student-Id: 23127362,Không,400 [ASSUMPTION],"status=400 và Array.isArray(body)===false. Nếu trả 200 kèm mảng ⇒ bug định tuyến trailing-slash, KHÔNG sửa expected",EP-ID-I6,Cao
TC-API1-010,TC-API1-D-010,FR-06,BVA,Domain,Số nguyên lớn còn an toàn (biên INT32 và 2^53),—,"GET /api/products/2147483646, /2147483647, /9007199254740990, /9007199254740991",X-Student-Id: 23127362,Không,404 (cả 4),Mỗi request: status=404 + body lỗi JSON; KHÔNG 500,BV-ID-7; BV-ID-8; BV-ID-10; BV-ID-11,Thấp
